name,postcode,state
Rantau Panjang,"['34140', '42160']",Perak
Sauk,['33500'],Perak
Selama,"['34100', '34120', '34130']",Perak
Selekoh,"['36200', '36207', '36209']",Perak
Seri Manjong,"['32040', '32050']",Perak
Simpang,['34700'],Perak
Simpang Ampat Semanggol,['34400'],Perak
Sitiawan,"['32000', '32010', '32020']",Perak
Slim River,"['35800', '35820']",Perak
Sungai Siput,"['31050', '31100', '31120']",Perak
Sungai Sumun,"['36300', '36307', '36309']",Perak
Sungkai,['35600'],Perak
Taiping,"['34000', '34007', '34008', '34009', '34010', '34020', '34030']",Perak
Tanjong Malim,"['35900', '35907', '35909', '35910']",Perak
Tanjong Piandang,['34250'],Perak
Tanjong Rambutan,['31250'],Perak
Tanjong Tualang,['31800'],Perak
Tapah,"['35000', '35007', '35009']",Perak
Tapah Road,['35400'],Perak
Teluk Intan,"['36000', '36007', '36008', '36009', '36010', '36020', '36030', '36110']",Perak
Temoh,['35350'],Perak
Tldm Lumut,['32100'],Perak
Trolak,['35700'],Perak
Trong,['34800'],Perak
Tronoh,['31750'],Perak
Ulu Bernam,['36500'],Perak
Ulu Kinta,"['31150', '31199']",Perak
Arau,"['02600', '02607', '02609']",Perlis
Kaki Bukit,['02200'],Perlis
Kangar,"['01000', '01007', '01009', '01500', '01502', '01503', '01504', '01505', '01506', '01508', '01512', '01514', '01516', '01517', '01518', '01524', '01529', '01532', '01538', '01540', '01546', '01550', '01551', '01556', '01560', '01564', '01570', '01572', '01576', '01578', '01582', '01586', '01590', '01592', '01594', '01596', '01598', '01600', '01604', '01606', '01608', '01609', '01610', '01612', '01614', '01620', '01622', '01626', '01628', '01630', '01632', '01634', '01644', '01646', '01648', '01660', '01664', '01670', '01672', '01673', '01674', '01676', '01680', '01694', '02400', '02450', '02500']",Perlis
Kuala Perlis,['02000'],Perlis
Padang Besar,['02100'],Perlis
Simpang Ampat,"['02700', '02707', '02709', '02800']",Perlis
Putrajaya,"['62000', '62007', '62050', '62052', '62100', '62150', '62200', '62250', '62300', '62500', '62502', '62503', '62504', '62505', '62506', '62510', '62512', '62514', '62516', '62517', '62518', '62519', '62520', '62522', '62524', '62526', '62527', '62529', '62530', '62532', '62536', '62539', '62540', '62542', '62546', '62550', '62551', '62570', '62574', '62576', '62578', '62582', '62584', '62590', '62592', '62594', '62596', '62602', '62604', '62605', '62606', '62616', '62618', '62620', '62623', '62624', '62628', '62630', '62632', '62648', '62652', '62654', '62657', '62662', '62668', '62670', '62674', '62675', '62676', '62677', '62686', '62690', '62692', '62988']",Wp Putrajaya
Beaufort,"['89800', '89807', '89808', '89809']",Sabah
Beluran,"['90100', '90107', '90109']",Sabah
Beverly,"['88700', '89260']",Sabah
Bongawan,"['89700', '89707', '89708', '89709']",Sabah
Inanam,['88857'],Sabah
Keningau,"['89000', '89007', '89008', '89009']",Sabah
Kota Belud,"['89150', '89157', '89158', '89159']",Sabah
