Product,SKU,Past Items sold,Past Revenue,Past Orders,Past Status,Past Stock,Past Status enc,Predicted items sold 2024,Conversion rate,Predicted orders 2024,Price,Predicted revenue 2024,Predicted Inventory
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - MORRI,00595,2,0.0,2,In stock,23,0,-1,1.0,-1,0.0,0,1
ROYAL PROPOLIS POWDER FOUNDATION - AA50 DARK,00433,2,59.9,2,In stock,49,0,-2,1.0,-2,29.95,-59,1
POCKET CAMOUFLAGE CREAM - AAP50,00563,2,99.8,2,Out of stock,0,1,0,1.0,0,49.9,0,1
ALHA ALFA BE YOU MATTE FOUNDATION - M70 HONEY,00538,2,89.8,2,In stock,24,0,2,1.0,2,44.9,89,1
ALHA ALFA EYE BRUSH - BRUSH E01,00350,1,40.0,1,In stock,96,0,0,1.0,0,40.0,0,0
ALHA ALFA EYE BRUSH - BRUSH SET,00367,1,299.9,1,In stock,99,0,1,1.0,1,299.9,299,0
ALHA ALFA BE YOU MATTE FOUNDATION - M10 FAIR,00532,1,44.9,1,In stock,5,0,1,1.0,1,44.9,44,0
ALHA ALFA FACE BRUSH - BRUSH SET,00368,1,350.0,1,In stock,99,0,0,1.0,0,350.0,0,0
ALHA ALFA LASHES PREMIUM COLLECTION - Code 008,00325,1,17.0,1,Out of stock,0,1,0,1.0,0,17.0,0,0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL10,00555,1,49.9,1,In stock,49,0,0,1.0,0,49.9,0,0
ALHA ALFA FACE MASK - 01 BLACK,00420,1,25.0,1,In stock,99,0,0,1.0,0,25.0,0,0
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF80 OXALIS,00576,1,59.9,1,In stock,19,0,-3,1.0,-3,59.9,-179,0
ALHA ALFA SUNSCREEN &amp; FOUNDATION - DEEP,00509,1,49.9,1,Out of stock,0,1,0,1.0,0,49.9,0,0
ALHA ALFA FACE BRUSH - BRUSH F02,00348,1,60.0,1,In stock,91,0,0,1.0,0,60.0,0,0
SATIN STAY SPF30 &amp; COMPACT POWDER - CP80,00547,1,49.9,1,In stock,91,0,-3,1.0,-3,49.9,-149,0
ROYAL PROPOLIS FOUNDATION SPF 45 - DEEP,00584,1,0.0,1,In stock,47,0,-2,1.0,-2,0.0,0,0
ALHA ALFA BE YOU MATTE FOUNDATION - M30 LIGHT MEDIUM,00534,1,44.9,1,Out of stock,0,1,1,1.0,1,44.9,44,0
ALHA ALFA FACE BRUSH - BRUSH F03,00347,1,50.0,1,In stock,98,0,0,1.0,0,50.0,0,0
ALHA ALFA LASHES PREMIUM COLLECTION - Code 006,00323,1,12.0,1,In stock,999,0,0,1.0,0,12.0,0,0
